# object name: Structure
-1.047198 1.570796 0.000000
-0.785398 1.570796 0.000000
-0.523599 1.570796 0.000000
-0.261799 1.570796 0.000000
0.000000 1.570796 0.000000
0.261799 1.570796 0.000000
0.523599 1.570796 0.000000
0.785398 1.570796 0.000000
1.047198 1.570796 0.000000
1.308997 1.570796 0.000000
1.570796 1.570796 0.000000
1.832596 1.570796 0.000000
2.094395 1.570796 0.000000
2.356194 1.570796 0.000000
2.617994 1.570796 0.000000
2.879793 1.570796 0.000000
3.141593 1.570796 0.000000

