# object name: Structure
-2.879793 -0.523599 0.835749
-2.617994 -0.523599 0.711790
-2.356194 -0.523599 0.613734
-2.094395 -0.523599 0.514644
-1.832596 -0.523599 0.424893
-1.570796 -0.523599 0.352941
-1.308997 -0.523599 0.424893
-1.047198 -0.523599 0.514644
-0.785398 -0.523599 0.613734
-0.523599 -0.523599 0.711790
-0.261799 -0.523599 0.835749
0.000000 -0.523599 1.000000
0.261799 -0.523599 0.835749
0.523599 -0.523599 0.711790
0.785398 -0.523599 0.613734
1.047198 -0.523599 0.514644
1.308997 -0.523599 0.424893
1.570796 -0.523599 0.352941
1.832596 -0.523599 0.424893
2.094395 -0.523599 0.514644
2.356194 -0.523599 0.613734
2.617994 -0.523599 0.711790
2.879793 -0.523599 0.835749
3.141593 -0.523599 1.000000

-3.141593 -0.261799 1.000000
-2.879793 -0.261799 0.787565
-2.617994 -0.261799 0.663677
-2.356194 -0.261799 0.547511
-2.094395 -0.261799 0.444444
-1.832596 -0.261799 0.327354
-1.570796 -0.261799 0.200000
-1.308997 -0.261799 0.327354
-1.047198 -0.261799 0.444444
-0.785398 -0.261799 0.547511
-0.523599 -0.261799 0.663677
-0.261799 -0.261799 0.787565
0.000000 -0.261799 1.000000
0.261799 -0.261799 0.787565
0.523599 -0.261799 0.663677
0.785398 -0.261799 0.547511
1.047198 -0.261799 0.444444
1.308997 -0.261799 0.327354
1.570796 -0.261799 0.200000
1.832596 -0.261799 0.327354
2.094395 -0.261799 0.444444
2.356194 -0.261799 0.547511
2.617994 -0.261799 0.663677
2.879793 -0.261799 0.787565
3.141593 -0.261799 1.000000

-3.141593 0.000000 1.000000
-2.879793 0.000000 0.769231
-2.617994 0.000000 0.588235
-2.356194 0.000000 0.470588
-2.094395 0.000000 0.352941
-1.832596 0.000000 0.200000
-1.570796 0.000000 0.000000
-1.308997 0.000000 0.200000
-1.047198 0.000000 0.352941
-0.785398 0.000000 0.470588
-0.523599 0.000000 0.588235
-0.261799 0.000000 0.769231
0.000000 0.000000 1.000000
0.261799 0.000000 0.769231
0.523599 0.000000 0.588235
0.785398 0.000000 0.470588
1.047198 0.000000 0.352941
1.308997 0.000000 0.200000
1.570796 0.000000 0.000000
1.832596 0.000000 0.200000
2.094395 0.000000 0.352941
2.356194 0.000000 0.470588
2.617994 0.000000 0.588235
2.879793 0.000000 0.769231
3.141593 0.000000 1.000000

-3.141593 0.261799 1.000000
-2.879793 0.261799 0.787565
-2.617994 0.261799 0.663677
-2.356194 0.261799 0.547511
-2.094395 0.261799 0.444444
-1.832596 0.261799 0.327354
-1.570796 0.261799 0.200000
-1.308997 0.261799 0.327354
-1.047198 0.261799 0.444444
-0.785398 0.261799 0.547511
-0.523599 0.261799 0.663677
-0.261799 0.261799 0.787565
0.000000 0.261799 1.000000
0.261799 0.261799 0.787565
0.523599 0.261799 0.663677
0.785398 0.261799 0.547511
1.047198 0.261799 0.444444
1.308997 0.261799 0.327354
1.570796 0.261799 0.200000
1.832596 0.261799 0.327354
2.094395 0.261799 0.444444
2.356194 0.261799 0.547511
2.617994 0.261799 0.663677
2.879793 0.261799 0.787565
3.141593 0.261799 1.000000

-3.141593 0.523599 1.000000
-2.879793 0.523599 0.835749
-2.617994 0.523599 0.711790
-2.356194 0.523599 0.613734
-2.094395 0.523599 0.514644
-1.832596 0.523599 0.424893
-1.570796 0.523599 0.352941
-1.308997 0.523599 0.424893
-1.047198 0.523599 0.514644
-0.785398 0.523599 0.613734
-0.523599 0.523599 0.711790
-0.261799 0.523599 0.835749
0.000000 0.523599 1.000000
0.261799 0.523599 0.835749
0.523599 0.523599 0.711790
0.785398 0.523599 0.613734
1.047198 0.523599 0.514644
1.308997 0.523599 0.424893
1.570796 0.523599 0.352941
1.832596 0.523599 0.424893
2.094395 0.523599 0.514644
2.356194 0.523599 0.613734
2.617994 0.523599 0.711790
2.879793 0.523599 0.835749
3.141593 0.523599 1.000000

-3.141593 0.785398 1.000000
-2.879793 0.785398 0.866029
-2.617994 0.785398 0.760000
-2.356194 0.785398 0.681223
-2.094395 0.785398 0.592593
-1.832596 0.785398 0.528384
-1.570796 0.785398 0.470588
-1.308997 0.785398 0.528384
-1.047198 0.785398 0.592593
-0.785398 0.785398 0.681223
-0.523599 0.785398 0.760000
-0.261799 0.785398 0.866029
0.000000 0.785398 1.000000
0.261799 0.785398 0.866029
0.523599 0.785398 0.760000
0.785398 0.785398 0.681223
1.047198 0.785398 0.592593
1.308997 0.785398 0.528384
1.570796 0.785398 0.470588
1.832596 0.785398 0.528384
2.094395 0.785398 0.592593
2.356194 0.785398 0.681223
2.617994 0.785398 0.760000
2.879793 0.785398 0.866029
3.141593 0.785398 1.000000

-3.141593 1.047198 1.000000
-2.879793 1.047198 0.898477
-2.617994 1.047198 0.811594
-2.356194 1.047198 0.753623
-2.094395 1.047198 0.688995
-1.832596 1.047198 0.641148
-1.570796 1.047198 0.588235
-1.308997 1.047198 0.641148
-1.047198 1.047198 0.688995
-0.785398 1.047198 0.753623
-0.523599 1.047198 0.811594
-0.261799 1.047198 0.898477
0.000000 1.047198 1.000000
0.261799 1.047198 0.898477
0.523599 1.047198 0.811594
0.785398 1.047198 0.753623
1.047198 1.047198 0.688995
1.308997 1.047198 0.641148
1.570796 1.047198 0.588235
1.832596 1.047198 0.641148
2.094395 1.047198 0.688995
2.356194 1.047198 0.753623
2.617994 1.047198 0.811594
2.879793 1.047198 0.898477
3.141593 1.047198 1.000000

-3.141593 1.308997 1.000000
-2.879793 1.308997 0.944785
-2.617994 1.308997 0.878613
-2.356194 1.308997 0.842105
-2.094395 1.308997 0.802260
-1.832596 1.308997 0.781065
-1.570796 1.308997 0.769231
-1.308997 1.308997 0.781065
-1.047198 1.308997 0.802260
-0.785398 1.308997 0.842105
-0.523599 1.308997 0.878613
-0.261799 1.308997 0.944785
0.000000 1.308997 1.000000
0.261799 1.308997 0.944785
0.523599 1.308997 0.878613
0.785398 1.308997 0.842105
1.047198 1.308997 0.802260
1.308997 1.308997 0.781065
1.570796 1.308997 0.769231
1.832596 1.308997 0.781065
2.094395 1.308997 0.802260
2.356194 1.308997 0.842105
2.617994 1.308997 0.878613
2.879793 1.308997 0.944785
3.141593 1.308997 1.000000

-3.141593 1.570796 1.000000
-2.879793 1.570796 1.000000
-2.617994 1.570796 1.000000
-2.356194 1.570796 1.000000
-2.094395 1.570796 1.000000
-1.832596 1.570796 1.000000
-1.570796 1.570796 1.000000
-1.308997 1.570796 1.000000
-1.047198 1.570796 1.000000
-0.785398 1.570796 1.000000
-0.523599 1.570796 1.000000
-0.261799 1.570796 1.000000
0.000000 1.570796 1.000000
0.261799 1.570796 1.000000
0.523599 1.570796 1.000000
0.785398 1.570796 1.000000
1.047198 1.570796 1.000000
1.308997 1.570796 1.000000
1.570796 1.570796 1.000000
1.832596 1.570796 1.000000
2.094395 1.570796 1.000000
2.356194 1.570796 1.000000
2.617994 1.570796 1.000000
2.879793 1.570796 1.000000
3.141593 1.570796 1.000000

