# object name: SOLAR_PANEL-Z
-3.141593 -0.523599 1.000000
-2.879793 -0.523599 0.370370
-2.617994 -0.523599 0.258427
-2.356194 -0.523599 0.189189
-2.094395 -0.523599 0.140741
-1.832596 -0.523599 0.075862
-1.570796 -0.523599 0.000000
-1.308997 -0.523599 0.075862
-1.047198 -0.523599 0.140741
-0.785398 -0.523599 0.189189
-0.523599 -0.523599 0.258427
-0.261799 -0.523599 0.370370
0.000000 -0.523599 1.000000
0.261799 -0.523599 1.000000
0.523599 -0.523599 1.000000
0.785398 -0.523599 1.000000
1.047198 -0.523599 1.000000
1.308997 -0.523599 1.000000
1.570796 -0.523599 1.000000
1.832596 -0.523599 1.000000
2.094395 -0.523599 1.000000
2.356194 -0.523599 1.000000
2.617994 -0.523599 1.000000
2.879793 -0.523599 1.000000
3.141593 -0.523599 1.000000

-3.141593 -0.261799 1.000000
-2.879793 -0.261799 0.267857
-2.617994 -0.261799 0.202128
-2.356194 -0.261799 0.152542
-2.094395 -0.261799 0.125874
-1.832596 -0.261799 0.000000
-1.570796 -0.261799 0.000000
-1.308997 -0.261799 0.000000
-1.047198 -0.261799 0.125874
-0.785398 -0.261799 0.152542
-0.523599 -0.261799 0.202128
-0.261799 -0.261799 0.267857
0.000000 -0.261799 1.000000
0.261799 -0.261799 1.000000
0.523599 -0.261799 1.000000
0.785398 -0.261799 1.000000
1.047198 -0.261799 1.000000
1.308997 -0.261799 1.000000
1.570796 -0.261799 1.000000
1.832596 -0.261799 1.000000
2.094395 -0.261799 1.000000
2.356194 -0.261799 1.000000
2.617994 -0.261799 1.000000
2.879793 -0.261799 1.000000
3.141593 -0.261799 1.000000

-3.141593 0.000000 1.000000
-2.879793 0.000000 0.250000
-2.617994 0.000000 0.000000
-2.356194 0.000000 0.000000
-2.094395 0.000000 0.000000
-1.832596 0.000000 0.000000
-1.570796 0.000000 0.000000
-1.308997 0.000000 0.000000
-1.047198 0.000000 0.000000
-0.785398 0.000000 0.000000
-0.523599 0.000000 0.000000
-0.261799 0.000000 0.250000
0.000000 0.000000 1.000000
0.261799 0.000000 1.000000
0.523599 0.000000 1.000000
0.785398 0.000000 1.000000
1.047198 0.000000 1.000000
1.308997 0.000000 1.000000
1.570796 0.000000 1.000000
1.832596 0.000000 1.000000
2.094395 0.000000 1.000000
2.356194 0.000000 1.000000
2.617994 0.000000 1.000000
2.879793 0.000000 1.000000
3.141593 0.000000 1.000000

-3.141593 0.261799 1.000000
-2.879793 0.261799 0.267857
-2.617994 0.261799 0.202128
-2.356194 0.261799 0.152542
-2.094395 0.261799 0.125874
-1.832596 0.261799 0.000000
-1.570796 0.261799 0.000000
-1.308997 0.261799 0.000000
-1.047198 0.261799 0.125874
-0.785398 0.261799 0.152542
-0.523599 0.261799 0.202128
-0.261799 0.261799 0.267857
0.000000 0.261799 1.000000
0.261799 0.261799 1.000000
0.523599 0.261799 1.000000
0.785398 0.261799 1.000000
1.047198 0.261799 1.000000
1.308997 0.261799 1.000000
1.570796 0.261799 1.000000
1.832596 0.261799 1.000000
2.094395 0.261799 1.000000
2.356194 0.261799 1.000000
2.617994 0.261799 1.000000
2.879793 0.261799 1.000000
3.141593 0.261799 1.000000

-3.141593 0.523599 1.000000
-2.879793 0.523599 0.370370
-2.617994 0.523599 0.258427
-2.356194 0.523599 0.189189
-2.094395 0.523599 0.140741
-1.832596 0.523599 0.075862
-1.570796 0.523599 0.000000
-1.308997 0.523599 0.075862
-1.047198 0.523599 0.140741
-0.785398 0.523599 0.189189
-0.523599 0.523599 0.258427
-0.261799 0.523599 0.370370
0.000000 0.523599 1.000000
0.261799 0.523599 1.000000
0.523599 0.523599 1.000000
0.785398 0.523599 1.000000
1.047198 0.523599 1.000000
1.308997 0.523599 1.000000
1.570796 0.523599 1.000000
1.832596 0.523599 1.000000
2.094395 0.523599 1.000000
2.356194 0.523599 1.000000
2.617994 0.523599 1.000000
2.879793 0.523599 1.000000
3.141593 0.523599 1.000000

-3.141593 0.785398 1.000000
-2.879793 0.785398 0.471698
-2.617994 0.785398 0.333333
-2.356194 0.785398 0.239583
-2.094395 0.785398 0.146552
-1.832596 0.785398 0.121951
-1.570796 0.785398 0.000000
-1.308997 0.785398 0.121951
-1.047198 0.785398 0.146552
-0.785398 0.785398 0.239583
-0.523599 0.785398 0.333333
-0.261799 0.785398 0.471698
0.000000 0.785398 1.000000
0.261799 0.785398 1.000000
0.523599 0.785398 1.000000
0.785398 0.785398 1.000000
1.047198 0.785398 1.000000
1.308997 0.785398 1.000000
1.570796 0.785398 1.000000
1.832596 0.785398 1.000000
2.094395 0.785398 1.000000
2.356194 0.785398 1.000000
2.617994 0.785398 1.000000
2.879793 0.785398 1.000000
3.141593 0.785398 1.000000

-3.141593 1.047198 1.000000
-2.879793 1.047198 0.555556
-2.617994 1.047198 0.400000
-2.356194 1.047198 0.337662
-2.094395 1.047198 0.269663
-1.832596 1.047198 0.193548
-1.570796 1.047198 0.000000
-1.308997 1.047198 0.193548
-1.047198 1.047198 0.269663
-0.785398 1.047198 0.337662
-0.523599 1.047198 0.400000
-0.261799 1.047198 0.555556
0.000000 1.047198 1.000000
0.261799 1.047198 1.000000
0.523599 1.047198 1.000000
0.785398 1.047198 1.000000
1.047198 1.047198 1.000000
1.308997 1.047198 1.000000
1.570796 1.047198 1.000000
1.832596 1.047198 1.000000
2.094395 1.047198 1.000000
2.356194 1.047198 1.000000
2.617994 1.047198 1.000000
2.879793 1.047198 1.000000
3.141593 1.047198 1.000000

-3.141593 1.308997 1.000000
-2.879793 1.308997 0.742857
-2.617994 1.308997 0.543478
-2.356194 1.308997 0.437500
-2.094395 1.308997 0.396552
-1.832596 1.308997 0.362069
-1.570796 1.308997 0.250000
-1.308997 1.308997 0.362069
-1.047198 1.308997 0.396552
-0.785398 1.308997 0.437500
-0.523599 1.308997 0.543478
-0.261799 1.308997 0.742857
0.000000 1.308997 1.000000
0.261799 1.308997 1.000000
0.523599 1.308997 1.000000
0.785398 1.308997 1.000000
1.047198 1.308997 1.000000
1.308997 1.308997 1.000000
1.570796 1.308997 1.000000
1.832596 1.308997 1.000000
2.094395 1.308997 1.000000
2.356194 1.308997 1.000000
2.617994 1.308997 1.000000
2.879793 1.308997 1.000000
3.141593 1.308997 1.000000

-3.141593 1.570796 1.000000
-2.879793 1.570796 1.000000
-2.617994 1.570796 1.000000
-2.356194 1.570796 1.000000
-2.094395 1.570796 1.000000
-1.832596 1.570796 1.000000
-1.570796 1.570796 1.000000
-1.308997 1.570796 1.000000
-1.047198 1.570796 1.000000
-0.785398 1.570796 1.000000
-0.523599 1.570796 1.000000
-0.261799 1.570796 1.000000
0.000000 1.570796 1.000000
0.261799 1.570796 1.000000
0.523599 1.570796 1.000000
0.785398 1.570796 1.000000
1.047198 1.570796 1.000000
1.308997 1.570796 1.000000
1.570796 1.570796 1.000000
1.832596 1.570796 1.000000
2.094395 1.570796 1.000000
2.356194 1.570796 1.000000
2.617994 1.570796 1.000000
2.879793 1.570796 1.000000
3.141593 1.570796 1.000000

